,accession,date,country,state,county
522,STM-0000053-D12,2021-01-26,USA,California,None
523,STM-0000042-A03,2021-01-21,USA,California,None
524,STM-0000025-A02,2021-01-10,USA,Florida,None
525,STM-0000081-E01,2021-01-10,USA,Michigan,None
526,STM-0000054-C12,2021-01-27,USA,Pennsylvania,None
527,STM-0000058-H01,2021-01-27,USA,Pennsylvania,None
528,STM-0000080-F03,2021-01-08,USA,Texas,None
529,STM-0000014-D09,2021-01-12,USA,Michigan,None
530,STM-0000013-B02,2021-01-14,USA,North_Carolina,None
531,STM-0000058-H11,2021-01-28,USA,Georgia,None
532,STM-0000056-B09,2021-01-27,USA,Georgia,None
533,STM-A100400,2021-01-06,USA,Georgia,None
534,STM-A100070,2021-01-03,USA,Georgia,None
535,STM-0000013-G05,2021-01-14,USA,Georgia,None
536,STM-0000050-H03,2021-01-22,USA,Georgia,None
537,STM-0000024-B01,2021-01-12,USA,Georgia,None
538,STM-0000043-F12,2021-01-20,USA,Georgia,None
539,STM-0000056-C03,2021-01-26,USA,Texas,None
540,STM-0000054-C10,2021-01-26,USA,Texas,None
541,STM-0000054-B10,2021-01-26,USA,Texas,None
542,STM-0000053-E12,2021-01-25,USA,Louisiana,None
543,STM-0000035-F03,2021-01-17,USA,Texas,None
544,STM-0000058-G02,2021-01-27,USA,Texas,None
545,STM-0000054-F07,2021-01-26,USA,Texas,None
546,STM-0000058-G04,2021-01-28,USA,Louisiana,None
547,STM-0000058-H06,2021-01-27,USA,Texas,None
548,STM-0000054-F09,2021-01-26,USA,Texas,None
549,STM-0000072-E05,2021-01-29,USA,Texas,None
550,STM-0000059-B05,2021-01-28,USA,Texas,None
551,STM-0000042-H09,2021-01-21,USA,Texas,None
552,STM-0000072-F01,2021-01-30,USA,Texas,None
553,STM-0000056-A06,2021-01-26,USA,Texas,None
554,STM-0000042-H02,2021-01-20,USA,Texas,None
555,STM-0000036-C08,2021-01-18,USA,Texas,None
556,STM-0000042-C09,2021-01-21,USA,Texas,None
557,STM-0000058-A03,2021-01-27,USA,Texas,None
558,STM-0000042-C05,2021-01-22,USA,Louisiana,None
559,STM-0000036-E06,2021-01-18,USA,Texas,None
560,STM-0000013-B09,2021-01-11,USA,Florida,None
561,STM-0000030-C08,2021-01-16,USA,New_York,None
562,STM-0000029-G04,2021-01-16,USA,Minnesota,None
563,STM-0000013-C02,2021-01-14,USA,Georgia,None
564,STM-0000030-B02,2021-01-15,USA,New_Jersey,None
565,STM-0000029-D04,2021-01-16,USA,Massachusetts,None
566,STM-0000072-G04,2021-01-29,USA,Florida,None
567,STM-0000042-E07,2021-01-22,USA,Pennsylvania,None
568,STM-0000050-D06,2021-01-22,USA,Michigan,None
569,STM-0000013-G02,2021-01-14,USA,Georgia,None
570,STM-0000029-B01,2021-01-16,USA,Georgia,None
571,STM-0000041-C06,2021-01-19,USA,Georgia,None
572,STM-0000058-D07,2021-01-27,USA,North_Carolina,None
573,STM-0000058-H08,2021-01-27,USA,North_Carolina,None
574,STM-0000050-F05,2021-01-21,USA,Georgia,None
575,STM-0000053-B02,2021-01-23,USA,Georgia,None
576,STM-0000058-B11,2021-01-28,USA,Georgia,None
577,STM-0000053-A11,2021-01-23,USA,Florida,None
